Tempo,Item,Taxa de giro em X,Taxa de giro em Y,Taxa de giro em Z,Aceleração em Z,Pitch,Roll,
Segundos,it,º/s,º/s,º/s,g,º,º,
1061,222,0,0,0,1.001,0,0,
1066,223,0,0,0,0.995,0,0,
1071,224,0,0,0,0.997,0,0,
1076,225,0,0,0,1.121,0,0,
1081,226,0,0,0,0.999,0,0,
1086,227,0,0,0,0.996,0,0,
1091,228,0,0,0,0.999,0,0,
1096,229,0,0,0,1.003,0,0,
1101,230,0,0,0,1.004,0,0,
1105,231,0,0,0,1.121,0,0,
1110,232,0,0,0,1.003,0,0,
1115,233,0,0,0,1.000,0,0,
1119,234,0,0,0,1.000,0,0,
1125,235,0,0,0,1.004,0,0,
1129,236,0,0,0,1.002,0,0,
1134,237,0,0,0,0.998,0,0,
1139,238,0,0,0,1.003,0,0,
1144,239,0,0,0,1.009,0,0,
1149,240,0,0,0,1.009,0,0,
1154,241,0,0,0,1.125,0,0,
1158,242,0,0,0,1.121,0,0,
1163,243,0,0,0,0.993,0,0,
1168,244,0,0,0,0.995,0,0,
1173,245,0,0,0,1.004,0,0,
1178,246,0,0,0,1.000,0,0,
1182,247,0,0,0,1.002,0,0,
1187,248,0,0,0,1.002,0,0,
1192,249,0,0,0,0.998,0,0,
1197,250,0,0,0,1.000,0,0,
1202,251,0,0,0,1.001,0,0,
1207,252,0,0,0,1.007,0,0,
1212,253,0,0,0,0.999,0,0,
1216,254,0,0,0,1.000,0,0,
1221,255,0,0,0,0.999,0,0,
1226,256,0,0,0,1.001,0,0,
1231,257,0,0,0,0.996,0,0,
1235,258,0,0,0,0.997,0,0,
1240,259,0,0,0,0.994,0,0,
1245,260,0,0,0,0.880,0,0,
1250,261,0,0,0,0.996,0,0,
1255,262,0,0,0,0.877,0,0,
1260,263,0,0,0,1.004,0,0,
1265,264,0,0,0,1.007,0,0,
1269,265,0,0,0,1.125,0,0,
1274,266,0,0,0,1.000,0,0,
1279,267,0,0,0,0.999,0,0,
1284,268,0,0,0,0.999,0,0,
1289,269,0,0,0,0.877,0,0,
1294,270,0,0,0,1.003,0,0,
1298,271,0,0,0,0.997,0,0,
1303,272,0,0,0,0.997,0,0,
1308,273,0,0,0,1.003,0,0,
1313,274,0,0,0,1.000,0,0,
1317,275,0,0,0,1.009,0,0,
1322,276,0,0,0,0.984,0,0,
1327,277,0,0,0,1.000,0,0,
1331,278,0,0,0,1.000,0,0,
1337,279,0,0,0,0.999,0,0,
1342,280,0,0,0,1.000,0,0,
1346,281,0,0,0,0.878,0,0,
1351,282,0,0,0,0.999,0,0,
1356,283,0,0,0,0.999,0,0,
1361,284,0,0,0,1.002,0,0,
1366,285,0,0,0,0.995,0,0,
1370,286,0,0,0,0.994,0,0,
1375,287,0,0,0,0.999,0,0,
1380,288,0,0,0,1.001,0,0,
1384,289,0,0,0,0.992,0,0,
1390,290,0,0,0,0.875,0,0,
1395,291,0,0,0,0.999,0,0,
1400,292,0,0,0,1.122,0,0,
1405,293,0,0,0,1.000,0,0,
1409,294,0,0,0,0.996,0,0,
1414,295,0,0,0,0.883,0,0,
1419,296,0,0,0,0.875,0,0,
1423,297,0,0,0,0.998,0,0,
