Tempo,Tempo GPS,Item,Latitude,Longitude,Altitude,Direção de curso,Velocidade GPS,Velocidade de subida,Erro em X,Erro em Y,Erro da altitude,Erro de velocidade,Erro da velocidade de subida,Nivel de fixação GPS,Latitude de referência,Longitude de referência,Posição X,Posição Y,Distancia absoluta,
Segundos,-,it,º,º,m,º,nós,m/s,m,m,m,nós,m/s,-,-,-,m,m,m,
17228,,90,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
17425,,91,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
17617,,92,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
17813,,93,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
18019,,94,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
18223,,95,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
18422,,96,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
18615,,97,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
18806,,98,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
19001,,99,0.000,0.000,0,0,0,0,nan,nan,nan,nan,nan,1,0,0,0,0,0,
